id,SKU,Descripcion,PrecioLista,Precio Distribuidor,idProveedor,Activo,Fotografia,Especificacion,Video,Status,Unidad, Moneda,Categorizacion
 ,19107,CEP MAGNA DX CR, ,1367.0,,,http://portal.helvex.com.mx/images/productos/19107.jpg,,,,ST,MXN,
 ,19108,JAB SENC MAGNA DX CR, ,1367.0,,,http://portal.helvex.com.mx/images/productos/19108.jpg,,,,ST,MXN,
 ,19109,TOALL SENC MAGNA DX CR, ,1093.0,,,http://portal.helvex.com.mx/images/productos/19109.jpg,,,,ST,MXN,
 ,19117,PORTAPAPEL SENC MAGNA DX CR, ,940.0,,,http://portal.helvex.com.mx/images/productos/19117.jpg,,,,ST,MXN,
 ,100-L,JAB C AGARR CLASICA L, ,554.0,,,http://portal.helvex.com.mx/images/productos/100-L.jpg,,,,ST,MXN,
 ,10107-SD,PORTAVASO CEP MIURA SD, ,1605.0,,,http://portal.helvex.com.mx/images/productos/10107-SD.jpg,,,,ST,MXN,
 ,102-S,JAB SENC EMP CHAROLA ANTIRR CLASICA S, ,689.0,,,http://portal.helvex.com.mx/images/productos/102-S.jpg,,,,ST,MXN,
 ,102-TAB-ROC,JAB INST P TBLROC CLASICA CR, ,648.0,,,http://portal.helvex.com.mx/images/productos/102-TAB-ROC.jpg,,,,ST,MXN,
 ,105-25,TOALL BARRA CUAD 25CM CLASICA CR, ,977.0,,,http://portal.helvex.com.mx/images/productos/105-25.jpg,,,,ST,MXN,
 ,105-30,TOALL BARRA CUAD 30CM CLASICA CR, ,977.0,,,http://portal.helvex.com.mx/images/productos/105-30.jpg,,,,ST,MXN,
 ,105-E,TOALL BARRA CUAD 18" CLASICA E, ,1013.0,,,http://portal.helvex.com.mx/images/productos/105-E.jpg,,,,ST,MXN,
 ,106-S,GANCHO DBL CLASICA S, ,425.0,,,http://portal.helvex.com.mx/images/productos/106-S.jpg,,,,ST,MXN,
 ,109-209,SOPORTE TOALL 109 ARGOLLA 209 CLASICA CR, ,603.0,,,http://portal.helvex.com.mx/images/productos/109-209.jpg,,,,ST,MXN,
 ,110-32,FLUX MANIJA WC NPL RECT 32 CR, ,3467.0,,,http://portal.helvex.com.mx/images/productos/110-32.jpg,,,,ST,MXN,
 ,110-38,FLUX MANIJA WC NPL RECT 38 CR, ,3467.0,,,http://portal.helvex.com.mx/images/productos/110-38.jpg,,,,ST,MXN,
 ,110-38-4.8-AHOSP,FLUX MANIJA 38 Y ACC LIMP P HOSP 4.8L CR, ,9280.0,,,http://portal.helvex.com.mx/images/productos/110-38-4.8-AHOSP.jpg,,,,ST,MXN,
 ,110-WC-4.8,FLUX MANIJA WC 32-38 4.8L CR, ,3467.0,,,http://portal.helvex.com.mx/images/productos/110-WC-4.8.jpg,,,,ST,MXN,
